Country,1995,2000,2005,2010
Argentina,73.5,74.2,75.3,75.8
Australia,78.3,79.8,81.2,82
Belarus,68.2,68.1,68.7,70.2
Brazil,69,70.7,72.4,73.6
Chile,75.4,77.3,78.2,78.5
China,68.4,69.8,71.9,74.3
Colombia,72,73.3,75.1,76.4
Estonia,67.7,70.4,72.5,76.4
Georgia,70.7,71.4,71.8,72.2
Germany,76.6,78.1,79.4,80.3
India,59.9,61.5,63.6,65.4
Jordan,72.5,73.4,74.5,77.9
South Korea,74,76.3,78.7,80.4
Mexico,73,74.6,75.1,75.4
Morocco,69.5,71.5,72.7,73.7
Netherlands,77.6,78.1,79.6,80.8
New Zealand,77,78.4,79.8,80.8
Nigeria,55,55.2,56.8,61.2
Peru,71.1,74.6,77.2,78.4
Philippines,68.8,69.1,69.1,70.1
Poland,71.9,73.8,75.1,76.2
Romania,69.4,71.1,72.4,73.7
Russia,64.4,65.1,65.1,68.9
Slovenia,74.6,76.1,77.6,79.5
South Africa,62.7,56.4,52.7,54.9
Spain,77.9,79.2,80.3,81.8
Sweden,78.9,79.7,80.6,81.6
Taiwan,74.6,76,77.4,79
Turkey,70,73.8,76.2,78.8
Ukraine,66.5,67.3,67.1,70.5
United States,75.9,76.9,77.6,78.8
Uruguay,73.4,74.6,75.5,76.2
